version,eval_accuracy,eval_precision,eval_recall,eval_f1,final_f1_train,final_accuracy_train,final_train_loss,final_val_loss
V8,0.745,0.55,0.7333333333333333,0.628570938775892,0.5353333947284193,0.5865360870155243,0.773535714079247,1.0804864032363182
V5,0.7002999999999999,0.475,0.6333333333333333,0.5428566530616663,0.4984048790427938,0.52913238264349,0.7639967093703249,1.0484980380160716
V3,0.6556,0.4024390243902439,0.55,0.46478824439646554,0.470735316774694,0.49915658198642127,0.8942288138786899,1.1432869885461132
